Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
1,05-04-2017,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,207,4,172,10,Sunrisers Hyderabad,Runs,35,Yuvraj Singh
2,06-04-2017,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,Field,Group,184,8,187,3,Rising Pune Supergiants,Wickets,7,Steve Smith
3,07-04-2017,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,183,4,184,0,Kolkata Knight Riders,Wickets,10,Chris Lynn
4,08-04-2017,"Holkar Cricket Stadium, Indore",Rising Pune Supergiants,Kings XI Punjab,Kings XI Punjab,Field,Group,163,6,164,4,Kings XI Punjab,Wickets,6,Glenn Maxwell
5,08-04-2017,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Bat,Group,157,8,142,9,Royal Challengers Bangalore,Runs,15,Kedar Jadhav
6,09-04-2017,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,135,7,140,1,Sunrisers Hyderabad,Wickets,9,Rashid Khan
7,09-04-2017,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Group,178,7,180,6,Mumbai Indians,Wickets,4,Nitish Rana
8,10-04-2017,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Bat,Group,148,4,150,2,Kings XI Punjab,Wickets,8,Axar Patel
9,11-04-2017,"Maharashtra Cricket Association Stadium, Pune",Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,Field,Group,205,4,108,10,Delhi Daredevils,Runs,97,Sanju Samson
10,12-04-2017,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field,Group,158,8,159,6,Mumbai Indians,Wickets,4,Jasprit Bumrah
11,13-04-2017,"Eden Gardens, Kolkata",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,170,9,171,2,Kolkata Knight Riders,Wickets,8,Sunil Narine
12,14-04-2017,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Group,142,5,145,6,Mumbai Indians,Wickets,4,Kieron Pollard
13,14-04-2017,"Saurashtra Cricket Association Stadium, Rajkot",Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,Field,Group,171,8,172,3,Gujarat Lions,Wickets,7,Andrew Tye
14,15-04-2017,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,172,6,155,6,Kolkata Knight Riders,Runs,17,Robin Uthappa
15,15-04-2017,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Bat,Group,188,6,137,9,Delhi Daredevils,Runs,51,Corey Anderson
16,16-04-2017,"Wankhede Stadium, Mumbai",Gujarat Lions,Mumbai Indians,Mumbai Indians,Field,Group,176,4,177,4,Mumbai Indians,Wickets,6,Nitish Rana
17,16-04-2017,"M. Chinnaswamy Stadium, Bangalore",Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,161,8,134,9,Rising Pune Supergiants,Runs,27,Ben Stokes
18,17-04-2017,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Group,168,7,169,6,Kolkata Knight Riders,Wickets,4,Manish Pandey
19,17-04-2017,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Group,159,6,154,10,Sunrisers Hyderabad,Runs,5,Bhuvneshwar Kumar
20,18-04-2017,"Saurashtra Cricket Association Stadium, Rajkot",Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Field,Group,213,2,192,7,Royal Challengers Bangalore,Runs,21,Chris Gayle
21,19-04-2017,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat,Group,191,4,176,5,Sunrisers Hyderabad,Runs,15,Kane Williamson
22,20-04-2017,"Holkar Cricket Stadium, Indore",Kings XI Punjab,Mumbai Indians,Delhi Daredevils,Field,Group,198,4,199,2,Mumbai Indians,Wickets,8,Jos Buttler
23,21-04-2017,"Eden Gardens, Kolkata",Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Field,Group,187,5,188,6,Gujarat Lions,Wickets,4,Suresh Raina
24,22-04-2017,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,Field,Group,176,3,179,4,Rising Pune Supergiants,Wickets,6,Mahendra Singh Dhoni
25,22-04-2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Group,142,8,128,7,Mumbai Indians,Runs,14,Mitchell McClenaghan
26,23-04-2017,"Saurashtra Cricket Association Stadium, Rajkot",Kings XI Punjab,Gujarat Lions,Gujarat Lions,Field,Group,188,7,162,7,Kings XI Punjab,Runs,26,Hashim Amla
27,23-04-2017,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,131,10,49,10,Kolkata Knight Riders,Runs,82,Nathan Coulter-Nile
28,24-04-2017,"Wankhede Stadium, Mumbai",Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,Field,Group,160,6,157,8,Rising Pune Supergiants,Runs,3,Ben Stokes
29,25-04-2017,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,,,,,,,
30,26-04-2017,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,182,5,184,3,Kolkata Knight Riders,Wickets,7,Robin Uthappa
31,27-04-2017,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Field,Group,134,10,135,3,Gujarat Lions,Wickets,7,Andrew Tye
32,28-04-2017,"Eden Gardens, Kolkata",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,160,6,161,3,Kolkata Knight Riders,Wickets,7,Gautam Gambhir
