Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
1,04-04-2012,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Group,112,10,115,2,Mumbai Indians,Wickets,8,Richard Levi
2,05-04-2012,"Eden Gardens, Kolkata",Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Field,Group,97,9,100,2,Delhi Daredevils,Wickets,8,Irfan Pathan
3,06-04-2012,"Wankhede Stadium, Mumbai",Pune Warriors India,Mumbai Indians,Mumbai Indians,Field,Group,129,9,101,9,Pune Warriors India,Runs,28,Steve Smith
4,06-04-2012,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Group,191,4,160,9,Rajasthan Royals,Runs,31,Ajinkya Rahane
5,07-04-2012,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field,Group,157,8,137,7,Royal Challengers Bangalore,Runs,20,AB de Villiers
6,07-04-2012,"ACA-VDCA Stadium, Visakhapatnam",Chennai Super Kings,Deccan Chargers,Deccan Chargers,Field,Group,193,6,119,10,Chennai Super Kings,Runs,74,Ravindra Jadeja
7,08-04-2012,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,164,5,142,10,Rajasthan Royals,Runs,22,Brad Hodge
8,08-04-2012,"Subrata Roy Sahara Stadium, Pune",Pune Warriors India,Kings XI Punjab,Kings XI Punjab,Bat,Group,166,6,144,8,Pune Warriors India,Runs,22,Marlon Samuels
9,09-04-2012,"ACA-VDCA Stadium, Visakhapatnam",Deccan Chargers,Mumbai Indians,Mumbai Indians,Bat,Group,138,9,142,5,Mumbai Indians,Wickets,5,Rohit Sharma
10,10-04-2012,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,165,8,123,9,Kolkata Knight Riders,Runs,42,Lakshmipathy Balaji
11,10-04-2012,"Feroz Shah Kotla, Delhi",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field,Group,110,8,111,2,Delhi Daredevils,Wickets,8,Morne Morkel
12,11-04-2012,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Group,197,6,170,10,Mumbai Indians,Runs,27,Kieron Pollard
13,12-04-2012,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Group,205,8,208,5,Chennai Super Kings,Wickets,5,Francois du Plessis
14,12-04-2012,"Punjab Cricket Association Stadium, Mohali",Pune Warriors India,Kings XI Punjab,Kings XI Punjab,Field,Group,115,10,116,3,Kings XI Punjab,Wickets,7,Dimitri Mascarenhas
15,13-04-2012,"Eden Gardens, Kolkata",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Group,131,5,137,5,Kolkata Knight Riders,Wickets,5,Shakib Al Hasan
16,14-04-2012,"Subrata Roy Sahara Stadium, Pune",Chennai Super Kings,Pune Warriors India,Chennai Super Kings,Bat,Group,155,5,156,3,Pune Warriors India,Wickets,7,Jesse Ryder
17,15-04-2012,"Eden Gardens, Kolkata",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,134,9,132,7,Kings XI Punjab,Runs,2,Sunil Narine
18,15-04-2012,"M. Chinnaswamy Stadium, Bangalore",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Bat,Group,195,2,136,10,Rajasthan Royals,Runs,59,Ajinkya Rahane
19,16-04-2012,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Group,92,10,93,3,Delhi Daredevils,Wickets,7,Shahbaz Nadeem
20,17-04-2012,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,Rajasthan Royals,Deccan Chargers,Bat,Group,196,2,197,5,Rajasthan Royals,Wickets,5,Brad Hodge
21,17-04-2012,"M. Chinnaswamy Stadium, Bangalore",Pune Warriors India,Royal Challengers Bangalore,Pune Warriors India,Bat,Group,182,6,186,4,Royal Challengers Bangalore,Wickets,6,Chris Gayle
22,18-04-2012,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat,Group,124,7,127,2,Kolkata Knight Riders,Wickets,8,Gautam Gambhir
23,19-04-2012,"Feroz Shah Kotla, Delhi",Deccan Chargers,Delhi Daredevils,Deccan Chargers,Bat,Group,157,8,162,5,Delhi Daredevils,Wickets,5,Kevin Pietersen
24,19-04-2012,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Pune Warriors India,Pune Warriors India,Field,Group,164,5,151,7,Chennai Super Kings,Runs,13,Nuwan Kulasekara
25,20-04-2012,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,163,6,166,5,Royal Challengers Bangalore,Wickets,5,Chris Gayle
26,21-04-2012,"M. A. Chidambaram Stadium, Chennai",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Group,146,4,147,3,Chennai Super Kings,Wickets,7,Francois du Plessis
27,21-04-2012,"Feroz Shah Kotla, Delhi",Pune Warriors India,Delhi Daredevils,Delhi Daredevils,Field,Group,192,3,172,7,Pune Warriors India,Runs,20,Sourav Ganguly
28,22-04-2012,"Wankhede Stadium, Mumbai",Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Group,163,6,164,4,Kings XI Punjab,Wickets,6,Shaun Marsh
