Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
1,03-04-2013,"Eden Gardens, Kolkata",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,128,10,129,4,Kolkata Knight Riders,Wickets,6,Sunil Narine
2,04-04-2013,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Group,156,5,154,5,Royal Challengers Bangalore,Runs,2,Chris Gayle
3,05-04-2013,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Pune Warriors India,Pune Warriors India,Field,Group,126,6,104,10,Sunrisers Hyderabad,Runs,22,Amit Mishra
4,06-04-2013,"Feroz Shah Kotla, Delhi",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Group,165,7,160,6,Rajasthan Royals,Runs,5,Rahul Dravid
5,06-04-2013,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Group,148,6,139,9,Mumbai Indians,Runs,9,Kieron Pollard
6,07-04-2013,"Subrata Roy Sahara Stadium, Pune",Pune Warriors India,Kings XI Punjab,Pune Warriors India,Bat,Group,99,9,100,2,Kings XI Punjab,Wickets,8,Manan Vohra
7,07-04-2013,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Bat,Group,130,8,130,7,Sunrisers Hyderabad,Super Over,,Hanuma Vihari
8,08-04-2013,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,144,6,125,10,Rajasthan Royals,Runs,19,Siddharth Trivedi
9,09-04-2013,"M. Chinnaswamy Stadium, Bangalore",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Bat,Group,161,6,162,3,Royal Challengers Bangalore,Wickets,7,Virat Kohli
10,09-04-2013,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Group,209,5,165,9,Mumbai Indians,Runs,44,Dinesh Karthik
