Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
1,09-04-2021,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,159,9,160,8,Royal Challengers Bangalore,Wickets,2,Harshal Patel
2,10-04-2021,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,Field,Group,188,7,190,3,Delhi Capitals,Wickets,7,Shikhar Dhawan
3,11-04-2021,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,187,6,177,5,Kolkata Knight Riders,Runs,10,Nitish Rana
4,12-04-2021,"Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,Rajasthan Royals,Field,Group,221,6,217,7,Punjab Kings,Runs,4,Sanju Samson
5,13-04-2021,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,152,10,142,7,Mumbai Indians,Runs,10,Rahul Chahar
6,14-04-2021,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,149,8,143,9,Royal Challengers Bangalore,Runs,6,Glenn Maxwell
7,15-04-2021,"Wankhede Stadium, Mumbai",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Field,Group,147,8,150,7,Rajasthan Royals,Wickets,3,Jaydev Unadkat
8,16-04-2021,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,Field,Group,106,8,107,4,Chennai Super Kings,Wickets,6,Deepak Chahar
9,17-04-2021,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,Group,150,5,137,10,Mumbai Indians,Runs,13,Kieron Pollard
10,18-04-2021,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Bat,Group,204,4,166,8,Royal Challengers Bangalore,Runs,38,AB de Villiers
