Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
1,08-04-2015,"Eden Gardens, Kolkata",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,168,3,170,3,Kolkata Knight Riders,Wickets,7,Morne Morkel
2,09-04-2015,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field,Group,150,7,149,9,Chennai Super Kings,Run,1,Ashish Nehra
3,10-04-2015,"MCA Stadium, Pune",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Group,162,7,136,8,Rajasthan Royals,Runs,26,James Faulkner
4,11-04-2015,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Bat,Group,209,4,164,6,Chennai Super Kings,Runs,45,Brendon McCullum
5,11-04-2015,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,177,6,179,7,Royal Challengers Bangalore,Wickets,3,Chris Gayle
6,12-04-2015,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Field,Group,184,3,186,7,Rajasthan Royals,Wickets,3,Deepak Hooda
7,12-04-2015,"Wankhede Stadium, Mumbai",Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Group,177,5,159,7,Kings XI Punjab,Runs,18,George Bailey
8,13-04-2015,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,166,10,172,2,Sunrisers Hyderabad,Wickets,8,David Warner 
9,14-04-2015,"Sardar Patel Stadium, Ahmedabad",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Group,164,5,165,3,Rajasthan Royals,Wickets,7,Steve Smith
10,15-04-2015,"MCA Stadium, Pune",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Bat,Group,165,7,169,5,Delhi Daredevils,Wickets,5,Mayank Agarwal
11,16-04-2015,"ACA-VDCA Stadium, Visakhapatnam",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,Group,127,5,131,4,Rajasthan Royals,Wickets,6,Ajinkya Rahane
12,17-04-2015,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Group,183,7,189,4,Chennai Super Kings,Wickets,6,Ashish Nehra
13,18-04-2015,"ACA-VDCA Stadium, Visakhapatnam",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Group,167,4,163,8,Delhi Daredevils,Runs,4,JP Duminy
14,18-04-2015,"MCA Stadium, Pune",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,155,9,159,6,Kolkata Knight Riders,Wickets,4,Andre Russell
15,19-04-2015,"Sardar Patel Stadium, Ahmedabad",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Group,156,4,157,2,Rajasthan Royals,Wickets,8,Ajinkya Rahane
16,19-04-2015,"M. Chinnaswamy Stadium, Bangalore",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,209,7,191,7,Mumbai Indians,Runs,18,Harbhajan Singh
17,20-04-2015,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,146,8,147,4,Kolkata Knight Riders,Wickets,6,Umesh Yadav
18,21-04-2015,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Group,191,6,191,6,Kings XI Punjab,Super Over,,Shaun Marsh
19,22-04-2015,"ACA-VDCA Stadium, Visakhapatnam",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,176,4,101,4,Sunrisers Hyderabad,Runs,16,David Warner 
20,22-04-2015,"M. Chinnaswamy Stadium, Bangalore",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,181,8,154,8,Chennai Super Kings,Runs,27,Suresh Raina
21,23-04-2015,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Mumbai Indians,Mumbai Indians,Field,Group,190,4,153,9,Delhi Daredevils,Runs,37,Shreyas Iyer
22,24-04-2015,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,130,9,134,1,Royal Challengers Bangalore,Wickets,9,Mitchell Starc
23,25-04-2015,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,Group,157,8,137,8,Mumbai Indians,Runs,20,Lasith Malinga
24,25-04-2015,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Group,192,3,95,9,Chennai Super Kings,Runs,97,Brendon McCullum
25,26-04-2015,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,,,
26,26-04-2015,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,95,10,99,0,Royal Challengers Bangalore,Wickets,10,Varun Aaron
27,27-04-2015,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Group,150,6,130,9,Sunrisers Hyderabad,Runs,20,Trent Boult
28,28-04-2015,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,134,6,132,9,Chennai Super Kings,Runs,2,Dwayne Bravo
29,29-04-2015,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Group,200,7,,,,,,
30,30-04-2015,"Eden Gardens, Kolkata",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,165,9,169,3,Kolkata Knight Riders,Wickets,7,Andre Russell
